Country_code,Country_name,LBW,LBW_YEAR,Country_name_CSEC,CSECTION,CSECTION_YEAR,Country_name_CHILD,CHILD_POP,CHILD_POP_YEAR,Country_name_TFR,TFR,TFR_YEAR,Country_name_GDP,GDP_PC,GDP_PC_YEAR,Country_name_GNI,GNI_PC,GNI_PC_YEAR,LBW_scaled,CSECTION_scaled,CHILD_POP_scaled,TFR_scaled,GDP_PC_scaled,GNI_PC_scaled
ALB,Albania,6,2020,Albania,31,2018,Albania,542174,2023,Albania,1.2,2022,Albania,21208,2023,Albania,7680,2023,0.2222222222222222,0.553191489361702,0.018423393100818457,0.07999999999999996,0.39916451652537166,0.3272537780093799
ARM,Armenia,8,2020,Armenia,18,2016,Armenia,673146,2024,Armenia,1.7,2023,Armenia,21342,2023,Armenia,6780,2023,0.4444444444444444,0.2765957446808511,0.02435765649426725,0.28,0.4024573043371421,0.2803543512245961
AZE,Azerbaijan,11,2020,Azerbaijan,26,2013,Azerbaijan,2761091,2023,Azerbaijan,1.7,2023,Azerbaijan,23598,2023,Azerbaijan,6660,2023,0.7777777777777777,0.4468085106382979,0.11896120214550908,0.28,0.45789409018306915,0.2741010943199583
BGR,Bulgaria,11,2020,Bulgaria,47,2018,Bulgaria,1104198,2024,Bulgaria,1.8,2023,Bulgaria,37411,2023,Bulgaria,14280,2023,0.7777777777777777,0.8936170212765957,0.04388836614421449,0.32000000000000006,0.7973215382725151,0.6711829077644607
BIH,Bosnia and Herzegovina,5,2020,Bosnia and Herzegovina,14,2012,Bosnia and Herzegovina,518647,2023,Bosnia and Herzegovina,1.5,2023,Bosnia and Herzegovina,22391,2023,Bosnia and Herzegovina,8280,2023,0.11111111111111116,0.19148936170212766,0.017357398729062126,0.20000000000000007,0.42823442683376334,0.3585200625325691
BLR,Belarus,5,2020,Belarus,31,2019,Belarus,1860711,2021,Belarus,1.2,2023,Belarus,30763,2023,Belarus,7790,2023,0.11111111111111116,0.553191489361702,0.07816552005931182,0.07999999999999996,0.6339599459393046,0.33298593017196454
GEO,Georgia,7,2020,Georgia,41,2020,Georgia,841727,2024,Georgia,1.7,2023,Georgia,25072,2023,Georgia,6710,2023,0.33333333333333326,0.7659574468085105,0.031995961300874703,0.28,0.4941147561125445,0.27670661803022406
HRV,Croatia,5,2020,Croatia,24,2018,Croatia,658510,2024,Croatia,1.5,2023,Croatia,45485,2023,Croatia,20590,2023,0.11111111111111116,0.40425531914893614,0.023694508042487353,0.20000000000000007,0.9957242904533726,1.0
KAZ,Kazakhstan,5,2020,Kazakhstan,15,2015,Kazakhstan,6966546,2023,Kazakhstan,3.0,2023,Kazakhstan,38515,2023,Kazakhstan,10730,2023,0.11111111111111116,0.21276595744680854,0.3095078660072215,0.8000000000000002,0.8244501781545645,0.48619072433559146
KGZ,Kyrgyzstan,6,2020,Kyrgyzstan,8,2018,Kyrgyzstan,2673617,2023,Kyrgyzstan,2.8,2023,Kyrgyzstan,7106,2023,Kyrgyzstan,1760,2023,0.2222222222222222,0.06382978723404255,0.11499780725134437,0.7199999999999999,0.05263545890158497,0.018759770713913493
MDA,Republic of Moldova,6,2020,Republic of Moldova,16,2012,Republic of Moldova,508664,2024,Republic of Moldova,1.7,2023,Republic of Moldova,17597,2023,Republic of Moldova,6200,2023,0.2222222222222222,0.23404255319148937,0.01690507493881078,0.28,0.3104312569111684,0.2501302761855133
MKD,North Macedonia,8,2020,North Macedonia,38,2019,North Macedonia,368731,2023,North Macedonia,1.6,2022,North Macedonia,24327,2023,North Macedonia,7900,2023,0.4444444444444444,0.702127659574468,0.010564793967034598,0.2400000000000001,0.47580783880083544,0.33871808233454925
